After minimisation    1385.30  1128     1.228

Chi2 Bartlett factor (rescales the chi2) =     0.992674
Confidence Intervals Bartlett factor (rescales PDF uncertainties) =     1.262771
  Partial chi2s 
Dataset    1    456.04( +7.88)   377  HERA1+2 NCep 920                                
Dataset    2     69.75( +0.02)    70  HERA1+2 NCep 820                                
Dataset    3    220.04( +1.05)   254  HERA1+2 NCep 575                                
Dataset    4    220.82( -0.88)   204  HERA1+2 NCep 460                                
Dataset    5    216.65( -0.22)   159  HERA1+2 NCem                                    
Dataset    6     44.22( +0.37)    39  HERA1+2 CCep                                    
Dataset    7     54.68( -2.12)    42  HERA1+2 CCem                                    

 Correlated Chi2    96.997824338518555     
 Log penalty Chi2    6.0921630229302863     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error  Bartlett      Type
  166  sysHZComb1159                         -0.0339   +/-   1.0000    1.0000        :N:M:D
  167  sysHZComb1160                          0.1063   +/-   0.8826    1.0000        :N:M:D
  168  sysHZComb1161                          0.7871   +/-   0.8415    1.0000        :N:M:D
  169  sysHZComb1162                          0.7775   +/-   0.8881    1.0000        :N:M:D
After minimisation    1314.68  1128     1.165

Chi2 Bartlett factor (rescales the chi2) =     0.991874
Confidence Intervals Bartlett factor (rescales PDF uncertainties) =     1.288443
  Partial chi2s 
Dataset    1    430.68( +7.88)   377  HERA1+2 NCep 920                                
Dataset    2     60.69( +0.10)    70  HERA1+2 NCep 820                                
Dataset    3    209.21( +0.95)   254  HERA1+2 NCep 575                                
Dataset    4    202.79( -0.99)   204  HERA1+2 NCep 460                                
Dataset    5    216.12( -0.23)   159  HERA1+2 NCem                                    
Dataset    6     44.56( +0.60)    39  HERA1+2 CCep                                    
Dataset    7     55.87( -2.18)    42  HERA1+2 CCem                                    

 Correlated Chi2    88.609461024426224     
 Log penalty Chi2    6.1360207866646368     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error  Bartlett      Type
    1  sysHZComb1036                         -0.0608   +/-   0.9543    1.8462        :N:M:D
    2  sysHZComb1042                          0.4991   +/-   0.9736    1.8081        :N:M:D
    3  sysHZComb1111                         -2.5856   +/-   0.6726    1.1717        :N:M:D
    4  sysHZComb1121                          0.0959   +/-   0.9682    1.8600        :N:M:D
    5  sysHZComb1131                         -0.2921   +/-   0.8339    1.6955        :N:M:D
    6  proc_nrl                               0.2281   +/-   0.3999    1.2389        :N:M:D
    7  proc_tb21                             -4.6235   +/-   1.1160    1.1752        :E:M:D
    8  proc_tb22                             -1.1730   +/-   0.3199    1.1064        :N:M:D
    9  proc_tb23                             -0.3523   +/-   0.4603    1.2912        :N:M:D
   10  proc_tb24                             -1.1402   +/-   0.4424    1.1910        :N:M:D
   11  proc_gp                                0.8412   +/-   0.4597    1.2397        :N:M:D
   12  proc_had                               0.6016   +/-   0.5897    1.3930        :N:M:D
   13  sysHZComb1015                         -0.2359   +/-   0.9990    1.5361        :N:M:D
   14  sysHZComb1030                         -0.1837   +/-   0.9712    1.5196        :N:M:D
   15  sysHZComb1044                         -0.4237   +/-   0.9978    1.5220        :N:M:D
   16  sysHZComb1045                         -0.1246   +/-   0.9576    1.5123        :N:M:D
   17  sysHZComb1046                         -0.0014   +/-   0.9771    1.5274        :N:M:D
   18  sysHZComb1047                          0.5391   +/-   1.0372    1.5365        :N:M:D
   19  sysHZComb1048                          0.2307   +/-   0.9955    1.5340        :N:M:D
   20  sysHZComb1049                         -0.0982   +/-   0.9711    1.5222        :N:M:D
   21  sysHZComb1050                          0.2126   +/-   0.9756    1.5214        :N:M:D
   22  sysHZComb1051                         -0.4219   +/-   1.0127    1.5321        :N:M:D
   23  sysHZComb1052                          0.6728   +/-   1.0779    1.5463        :N:M:D
   24  sysHZComb1053                        -16.1457   +/-   2.6262    1.0719        :E:M:D
   25  sysHZComb1054                          0.3421   +/-   1.0237    1.5460        :N:M:D
   26  sysHZComb1055                         -0.6750   +/-   1.3369    1.7034        :E:M:D
   27  sysHZComb1056                         -0.5639   +/-   0.9765    1.4939        :N:M:D
   28  sysHZComb1089                          0.0602   +/-   0.9843    1.5319        :N:M:D
   29  sysHZComb1110                         -0.8405   +/-   0.7914    1.3421        :N:M:D
   30  sysHZComb1146                          0.1271   +/-   1.0132    1.5502        :N:M:D
   31  sysHZComb1149                          0.6206   +/-   0.8432    1.3996        :N:M:D
   32  sysHZComb1155                          1.3215   +/-   1.0411    1.4234        :N:M:D
   33  sysHZComb1041                         -0.1028   +/-   0.8301    1.1794        :N:M:D
   34  sysHZComb1085                          0.1314   +/-   0.8880    1.1976        :N:M:D
   35  sysHZComb1094                         -0.0091   +/-   1.0244    1.2402        :N:M:D
   36  sysHZComb1122                          0.2389   +/-   0.9620    1.2199        :N:M:D
   37  sysHZComb1123                         -0.3353   +/-   0.9620    1.2186        :N:M:D
   38  sysHZComb1124                         -0.9385   +/-   0.9309    1.1935        :N:M:D
   39  sysHZComb1125                          1.0318   +/-   0.9576    1.1980        :N:M:D
   40  sysHZComb1126                         -0.2045   +/-   0.9446    1.2148        :N:M:D
   41  sysHZComb1127                         -0.0644   +/-   0.9482    1.2168        :N:M:D
   42  sysHZComb1134                          0.2827   +/-   1.0109    1.2342        :N:M:D
   43  sysHZComb1154                         -0.0002   +/-   0.8341    1.1808        :N:M:D
   44  sysHZComb1156                         -0.0477   +/-   0.9413    1.2147        :N:M:D
   45  sysHZComb1001                          0.3529   +/-   0.9326    1.0000        :N:M:D
   46  sysHZComb1002                         -0.3742   +/-   0.9363    1.0000        :N:M:D
   47  sysHZComb1003                          0.9911   +/-   0.5564    1.0000        :N:M:D
   48  sysHZComb1004                          0.3714   +/-   0.6167    1.0000        :N:M:D
   49  sysHZComb1005                          0.9519   +/-   0.6072    1.0000        :N:M:D
   50  sysHZComb1006                         -0.7569   +/-   0.7853    1.0000        :N:M:D
   51  sysHZComb1007                          0.1245   +/-   0.9981    1.0000        :N:M:D
   52  sysHZComb1008                          0.0379   +/-   0.9983    1.0000        :N:M:D
   53  sysHZComb1009                          0.3983   +/-   0.8984    1.0000        :N:M:D
   54  sysHZComb1010                         -0.3314   +/-   0.9935    1.0000        :N:M:D
   55  sysHZComb1011                         -0.5224   +/-   0.9615    1.0000        :N:M:D
   56  sysHZComb1012                          0.2495   +/-   0.9676    1.0000        :N:M:D
   57  sysHZComb1013                         -0.3154   +/-   0.9557    1.0000        :N:M:D
   58  sysHZComb1014                         -0.0098   +/-   0.9874    1.0000        :N:M:D
   59  sysHZComb1016                         -0.0301   +/-   0.9744    1.0000        :N:M:D
   60  sysHZComb1017                         -0.2694   +/-   0.9704    1.0000        :N:M:D
   61  sysHZComb1018                          0.2467   +/-   0.8225    1.0000        :N:M:D
   62  sysHZComb1019                         -0.4541   +/-   0.9835    1.0000        :N:M:D
   63  sysHZComb1020                         -0.4845   +/-   0.9811    1.0000        :N:M:D
   64  sysHZComb1021                         -0.0285   +/-   0.9742    1.0000        :N:M:D
   65  sysHZComb1022                          0.3519   +/-   0.9668    1.0000        :N:M:D
