!
! This datafile is a successor of the Dataset 3.
! H1 Collaboration, DESY
!
&Data
   Name  = 'H1 NC High Q2 e+p 94-97'
   NData =  130                        ! Number of data points
   NColumn =  24                       ! Number of all columns
   ColumnType = 3*'Bin','Sigma',20*'Error'
   ColumnName = 'x','Q2','y','reduced x-section','stat','uncor',2*'ignore','h1_nc_high_beta_9','h1_nc_high_beta_10','h1_nc_high_beta_11','h1_nc_high_beta_5','B2',9*'ignore','xlum_3','corlum'

   NInfo    = 4
   DataInfo =  301.,	+1.,	1.,	0.
   CInfo    = 'sqrt(S)','e charge','reduced','e polarity'

   IndexDataset = 3

   Reaction = 'NC e+-p'

!x	Q2		y	sig_NC	stat	unc	cor	tot	c^E+	c^th+	c^h+	c^N+	c^B+	u^E+	u^th+	u^h+	F2	Dall	DF2	DF3	DFL	Dqed	xlum	corlum

   Percent = 20*true

&END
0.4000	1500.		0.041	0.110	14.600	5.900	5.100	16.600	2.800	-0.200	-1.800	-3.900	0.000	2.800	0.300	3.000	0.109	0.700	1.700	-0.800	0.000	5.300	1.414	0.500
0.6500	1500.		0.025	0.009	37.800	13.100	14.600	42.600	7.900	-0.800	-4.700	-11.300	0.000	8.000	1.600	7.400	0.009	0.800	1.600	-0.500	0.000	0.000	1.414	0.500
0.0320	2000.		0.690	0.614	9.000	4.000	1.000	9.900	-0.400	-0.300	0.400	0.500	-0.700	1.300	0.500	0.800	0.653	-6.100	3.600	-5.900	-3.200	10.300	1.414	0.500
0.0500	2000.		0.442	0.541	8.700	4.000	1.500	9.700	0.100	-0.200	1.100	1.000	-0.300	0.500	0.300	1.500	0.559	-3.200	3.500	-5.300	-0.900	10.200	1.414	0.500
0.0800	2000.		0.276	0.428	8.300	3.700	1.100	9.100	0.400	0.100	0.400	1.000	0.000	0.100	0.200	1.000	0.436	-1.700	3.300	-4.300	-0.200	9.800	1.414	0.500
0.1300	2000.		0.170	0.340	9.600	4.100	1.400	10.600	1.300	-0.200	-0.200	-0.300	0.000	1.400	0.400	0.400	0.343	-0.700	3.100	-3.300	-0.100	9.400	1.414	0.500
0.1800	2000.		0.123	0.331	10.100	4.500	1.800	11.100	1.400	-0.600	0.600	0.700	0.000	1.500	1.100	0.700	0.331	-0.100	3.000	-2.600	0.000	8.800	1.414	0.500
0.2500	2000.		0.088	0.249	10.700	5.100	3.000	12.200	2.500	-0.300	-1.200	-1.100	0.000	2.500	0.700	1.800	0.248	0.400	2.800	-2.000	0.000	8.000	1.414	0.500
0.4000	2000.		0.055	0.114	15.100	6.500	5.100	17.200	3.800	0.500	-1.700	-2.900	0.000	3.700	0.900	2.900	0.113	0.900	2.600	-1.300	0.000	5.500	1.414	0.500
0.6500	2000.		0.034	0.011	37.800	13.200	13.300	42.200	7.300	0.500	-4.400	-10.300	0.000	7.200	1.000	7.900	0.011	1.200	2.300	-0.800	0.000	0.100	1.414	0.500
