   4.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.301969      0.261310      0.660062      0.289523      0.202988E-01  0.938997E-02  0.639763      0.280133      0.296887E-01  0.186539E-01  0.549219E-02  0.388350E-02  0.164481E-02   0.00000       0.00000    
  0.331102      0.200491      0.621224      0.253199      0.150298E-01  0.612499E-02  0.606194      0.247074      0.211548E-01  0.138399E-01  0.357879E-02  0.253572E-02  0.118990E-02   0.00000       0.00000    
  0.363046      0.148599      0.571478      0.214890      0.106775E-01  0.378385E-02  0.560800      0.211106      0.144614E-01  0.984933E-02  0.220791E-02  0.156854E-02  0.828177E-03   0.00000       0.00000    
  0.398071      0.105252      0.510971      0.175845      0.717814E-02  0.216414E-02  0.503793      0.173681      0.934229E-02  0.663115E-02  0.126051E-02  0.898665E-03  0.546991E-03   0.00000       0.00000    
  0.436476      0.706015E-01  0.439738      0.137466      0.452097E-02  0.113462E-02  0.435217      0.136331      0.565559E-02  0.418143E-02  0.659350E-03  0.472135E-03  0.339547E-03   0.00000       0.00000    
  0.478586      0.443367E-01  0.359860      0.101472      0.262633E-02  0.535080E-03  0.357234      0.100937      0.316141E-02  0.243028E-02  0.309978E-03  0.223269E-03  0.196052E-03   0.00000       0.00000    
  0.524759      0.255378E-01  0.275362      0.695485E-01  0.137289E-02  0.219834E-03  0.273989      0.693287E-01  0.159272E-02  0.127001E-02  0.126819E-03  0.920421E-04  0.102880E-03   0.00000       0.00000    
  0.575386      0.131183E-01  0.192214      0.431948E-01  0.623865E-03  0.753762E-04  0.191590      0.431194E-01  0.699241E-03  0.576247E-03  0.432347E-04  0.316882E-04  0.476177E-04   0.00000       0.00000    
  0.630897      0.575354E-02  0.117839      0.234107E-01  0.233610E-03  0.201911E-04  0.117605      0.233905E-01  0.253801E-03  0.215051E-03  0.114897E-04  0.852528E-05  0.185593E-04   0.00000       0.00000    
  0.691764      0.200302E-02  0.595629E-01  0.103966E-01  0.659254E-04  0.378345E-05  0.594970E-01  0.103929E-01  0.697089E-04  0.602875E-04  0.212927E-05  0.160174E-05  0.563793E-05   0.00000       0.00000    
  0.758504      0.479403E-03  0.220296E-01  0.335590E-02  0.118016E-04  0.395586E-06  0.220178E-01  0.335551E-02  0.121972E-04  0.106591E-04  0.219458E-06  0.166064E-06  0.114251E-05   0.00000       0.00000    
  0.831682      0.585533E-04  0.458777E-02  0.605996E-03  0.929948E-06  0.138226E-07  0.458684E-02  0.605982E-03  0.943770E-06  0.816939E-06  0.755578E-08  0.538594E-08  0.113009E-06   0.00000       0.00000    
  0.911920      0.137243E-05  0.232555E-03  0.263717E-04  0.994711E-08  -.296876E-11  0.232545E-03  0.263717E-04  0.994414E-08  0.802679E-08  -.121714E-11  -.128860E-10  0.192032E-08   0.00000       0.00000    
  0.999900      0.571629E-13  0.483649E-10  0.459475E-11  0.342740E-16  0.291459E-17  0.483649E-10  0.459475E-11  0.371886E-16  -.204093E-17  0.823294E-18  0.193406E-17  0.363150E-16   0.00000       0.00000    
