   8317.00000             101          14   9.99999978E-03  0.999899983    
            x          g             U             D           u^+           d^+         u_val         d_val           sea         u_sea         d_sea             s^+         c^+           b^+               ph 
  0.275403      0.212255      0.837855       1.01703       1.03480       1.03480       0.00000       0.00000       1.85488      0.517402      0.517402      0.579696      0.640906      0.419556       0.00000    
  0.288382      0.179426      0.763968      0.922963      0.951141      0.951141       0.00000       0.00000       1.68693      0.475571      0.475571      0.525126      0.576794      0.369660       0.00000    
  0.301973      0.149970      0.694008      0.833309      0.871820      0.871820       0.00000       0.00000       1.52732      0.435910      0.435910      0.469872      0.516195      0.324926       0.00000    
  0.316204      0.124031      0.628191      0.748691      0.797116      0.797116       0.00000       0.00000       1.37688      0.398558      0.398558      0.415544      0.459266      0.284722       0.00000    
  0.331106      0.101503      0.566533      0.669334      0.727029      0.727029       0.00000       0.00000       1.23587      0.363514      0.363514      0.363021      0.406038      0.248618       0.00000    
  0.346710      0.821264E-01  0.508931      0.595221      0.661391      0.661391       0.00000       0.00000       1.10415      0.330696      0.330696      0.312745      0.356472      0.216306       0.00000    
  0.363050      0.656836E-01  0.455107      0.525650      0.599870      0.599870       0.00000       0.00000      0.980757      0.299935      0.299935      0.263573      0.310344      0.187857       0.00000    
  0.380159      0.518453E-01  0.405268      0.461825      0.542594      0.542594       0.00000       0.00000      0.867093      0.271297      0.271297      0.218770      0.267941      0.162286       0.00000    
  0.398075      0.403575E-01  0.359292      0.403659      0.489381      0.489381       0.00000       0.00000      0.762950      0.244691      0.244691      0.178615      0.229202      0.139322       0.00000    
  0.416836      0.309975E-01  0.317010      0.350864      0.440019      0.440019       0.00000       0.00000      0.667874      0.220009      0.220009      0.142900      0.194001      0.118810       0.00000    
  0.436480      0.237385E-01  0.278212      0.302878      0.394424      0.394424       0.00000       0.00000      0.581089      0.197212      0.197212      0.110557      0.161999      0.100775       0.00000    
  0.457050      0.178522E-01  0.242836      0.260129      0.352056      0.352056       0.00000       0.00000      0.502965      0.176028      0.176028      0.836055E-01  0.133615      0.845961E-01   0.00000    
  0.478590      0.131831E-01  0.210699      0.222236      0.312748      0.312748       0.00000       0.00000      0.432935      0.156374      0.156374      0.615431E-01  0.108650      0.701807E-01   0.00000    
  0.501145      0.966002E-02  0.181636      0.188882      0.276404      0.276404       0.00000       0.00000      0.370518      0.138202      0.138202      0.439146E-01  0.868682E-01  0.574446E-01   0.00000    
  0.524762      0.714511E-02  0.155467      0.159698      0.242873      0.242873       0.00000       0.00000      0.315165      0.121436      0.121436      0.302273E-01  0.680621E-01  0.462961E-01   0.00000    
  0.549493      0.517627E-02  0.131942      0.134067      0.211722      0.211722       0.00000       0.00000      0.266009      0.105861      0.105861      0.198062E-01  0.521617E-01  0.366059E-01   0.00000    
  0.575389      0.367770E-02  0.110894      0.111669      0.182854      0.182854       0.00000       0.00000      0.222563      0.914272E-01  0.914272E-01  0.121935E-01  0.389333E-01  0.282895E-01   0.00000    
  0.602506      0.259973E-02  0.921778E-01  0.922591E-01  0.156272      0.156272       0.00000       0.00000      0.184437      0.781358E-01  0.781358E-01  0.700889E-02  0.280840E-01  0.212376E-01   0.00000    
  0.630900      0.183315E-02  0.756007E-01  0.754193E-01  0.131745      0.131745       0.00000       0.00000      0.151020      0.658727E-01  0.658727E-01  0.369568E-02  0.194561E-01  0.153977E-01   0.00000    
  0.660633      0.127401E-02  0.609734E-01  0.607460E-01  0.109067      0.109067       0.00000       0.00000      0.121719      0.545335E-01  0.545335E-01  0.171279E-02  0.128798E-01  0.107123E-01   0.00000    
  0.691767      0.875178E-03  0.481530E-01  0.480033E-01  0.882496E-01  0.882496E-01   0.00000       0.00000      0.961563E-01  0.441248E-01  0.441248E-01  0.687413E-03  0.805643E-02  0.706955E-02   0.00000    
  0.724368      0.589437E-03  0.369966E-01  0.369548E-01  0.693059E-01  0.693059E-01   0.00000       0.00000      0.739514E-01  0.346529E-01  0.346529E-01  0.246227E-03  0.468731E-02  0.435758E-02   0.00000    
  0.758506      0.378240E-03  0.273751E-01  0.274014E-01  0.522722E-01  0.522722E-01   0.00000       0.00000      0.547764E-01  0.261361E-01  0.261361E-01  0.733402E-04  0.247797E-02  0.245722E-02   0.00000    
  0.794253      0.224938E-03  0.192059E-01  0.192533E-01  0.372630E-01  0.372630E-01   0.00000       0.00000      0.384593E-01  0.186315E-01  0.186315E-01  0.168787E-04  0.114886E-02  0.122677E-02   0.00000    
  0.831684      0.119054E-03  0.124461E-01  0.124839E-01  0.244518E-01  0.244518E-01   0.00000       0.00000      0.249300E-01  0.122259E-01  0.122259E-01  0.283128E-05  0.440343E-03  0.513267E-03   0.00000    
  0.870879      0.521640E-04  0.709265E-02  0.711157E-02  0.140604E-01  0.140604E-01   0.00000       0.00000      0.142042E-01  0.703018E-02  0.703018E-02  0.383505E-06  0.124926E-03  0.162394E-03   0.00000    
  0.911921      0.161371E-04  0.318384E-02  0.318906E-02  0.634715E-02  0.634715E-02   0.00000       0.00000      0.637290E-02  0.317358E-02  0.317358E-02  0.701143E-07  0.205213E-04  0.308971E-04   0.00000    
  0.954898      0.212841E-05  0.788291E-03  0.788722E-03  0.157561E-02  0.157561E-02   0.00000       0.00000      0.157701E-02  0.787807E-03  0.787807E-03  0.284124E-07  0.969473E-06  0.180221E-05   0.00000    
  0.999900      0.287516E-09  0.216571E-06  0.216452E-06  0.433397E-06  0.433397E-06   0.00000       0.00000      0.433023E-06  0.216698E-06  0.216698E-06  -.280869E-09  -.254583E-09  -.212044E-09   0.00000    
