   100.0000             101          13  9.9999997E-05  0.9999000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.275399      0.129353      0.477120      0.211503      0.407271E-01  0.624677E-01  0.436392      0.149035      0.103195      0.394356E-01  0.423188E-01  0.197312E-01  0.129153E-02  0.417663E-03
  0.301969      0.944959E-01  0.439798      0.183696      0.347993E-01  0.539821E-01  0.404999      0.129714      0.887814E-01  0.339561E-01  0.367303E-01  0.169707E-01  0.843200E-03  0.281117E-03
  0.331102      0.668830E-01  0.397699      0.156094      0.293178E-01  0.460187E-01  0.368381      0.110075      0.753365E-01  0.287923E-01  0.314261E-01  0.144108E-01  0.525436E-03  0.181756E-03
  0.363046      0.459345E-01  0.350730      0.129239      0.242924E-01  0.386024E-01  0.326438      0.906364E-01  0.628948E-01  0.239782E-01  0.264372E-01  0.120519E-01  0.314190E-03  0.113295E-03
  0.398071      0.302598E-01  0.299829      0.103646      0.196899E-01  0.317081E-01  0.280139      0.719377E-01  0.513980E-01  0.195132E-01  0.217649E-01  0.987636E-02  0.176751E-03  0.668547E-04
  0.436476      0.189523E-01  0.246076      0.799212E-01  0.155224E-01  0.253666E-01  0.230553      0.545547E-01  0.408890E-01  0.154301E-01  0.174423E-01  0.788752E-02  0.923850E-04  0.367913E-04
  0.478586      0.113012E-01  0.191594      0.587858E-01  0.118253E-01  0.196435E-01  0.179769      0.391423E-01  0.314688E-01  0.117800E-01  0.135236E-01  0.610087E-02  0.453430E-04  0.190257E-04
  0.524759      0.627924E-02  0.139154      0.407124E-01  0.860789E-02  0.145711E-01  0.130547      0.261413E-01  0.231790E-01  0.858763E-02  0.100402E-01  0.452198E-02  0.202532E-04  0.894352E-05
  0.575386      0.317457E-02  0.919977E-01  0.260879E-01  0.589604E-02  0.102061E-01  0.861017E-01  0.158819E-01  0.161021E-01  0.588806E-02  0.703660E-02  0.316577E-02  0.798005E-05  0.369848E-05
  0.630897      0.140649E-02  0.533276E-01  0.150739E-01  0.371196E-02  0.660311E-02  0.496156E-01  0.847083E-02  0.103151E-01  0.370933E-02  0.455426E-02  0.204757E-02  0.263056E-05  0.127807E-05
  0.691765      0.513533E-03  0.254834E-01  0.754136E-02  0.206565E-02  0.380386E-02  0.234177E-01  0.373750E-02  0.586952E-02  0.206499E-02  0.262418E-02  0.117934E-02  0.659932E-06  0.338822E-06
  0.758504      0.136508E-03  0.892339E-02  0.303073E-02  0.941981E-03  0.181745E-02  0.798141E-02  0.121327E-02  0.275943E-02  0.941881E-03  0.125397E-02  0.563431E-03  0.998388E-07  0.566350E-07
  0.831682      0.216687E-04  0.180844E-02  0.846701E-03  0.299914E-03  0.619365E-03  0.150853E-02  0.227335E-03  0.919280E-03  0.299909E-03  0.427357E-03  0.192004E-03  0.521866E-08  0.423771E-08
  0.911921      0.108734E-05  0.106566E-03  0.103290E-03  0.395807E-04  0.922047E-04  0.669850E-04  0.110857E-04  0.131785E-03  0.395809E-04  0.636213E-04  0.285834E-04  -.200808E-09  0.269886E-11
  0.999900      0.346219E-11  0.559107E-09  0.189111E-08  0.545100E-09  0.188651E-08  0.140070E-10  0.459673E-11  0.243161E-08  0.545101E-09  0.130169E-08  0.584818E-09  -.116442E-14  -.301973E-15
