!
! This datafile is a successor of the Dataset 8.
! H1 Collaboration, DESY
!
&Data
   Name  = 'H1 NC High Q2 e+p 99-00'
   NData =  147                        ! Number of data points
   NColumn =  24                       ! Number of all columns
   ColumnType = 3*'Bin','Sigma',20*'Error'
   ColumnName = 'x','Q2','y','reduced x-section','stat','uncor','ignore','ignore','h1_nc_high_beta_9','h1_nc_high_beta_15','h1_nc_high_beta_11','h1_nc_high_beta_5','B2','h1_nc_high_beta_16',8*'ignore','xlum_5','corlum'

   NInfo    = 4
   DataInfo =  318.,	+1.,	1.,	0.
   CInfo    = 'sqrt(S)','e charge','reduced','e polarity'

   IndexDataset = 8

   Reaction = 'NC e+-p'          

!x	Q2		y	sig_NC	stat	unc	cor	tot	c^E+	c^th+	c^h+	c^N+	c^B+	c^S+	sys	u^E	u^h	phi/Y+	F2	dF2	dF3	dFL	xlum	corlum

   Percent = 20*true

&END	
0.08000	500.		0.062	0.440	2.800	2.600	1.400	4.100	1.100	0.400	-0.600	0.800	0.000	0.000	3.000	1.000	0.100	0.440	0.439	0.600	-0.300	0.000	1.414	0.500
0.13000	500.		0.038	0.344	3.400	2.700	2.300	4.900	0.700	0.700	-0.400	2.100	0.000	0.000	3.500	0.700	0.100	0.344	0.344	0.400	-0.200	0.000	1.414	0.500
0.18000	500.		0.027	0.294	3.700	3.700	2.600	5.900	2.000	0.600	-0.800	-1.300	0.000	0.000	4.500	2.000	1.400	0.294	0.294	0.400	-0.200	0.000	1.414	0.500
0.25000	500.		0.020	0.269	4.600	4.600	5.500	8.500	2.700	0.200	-1.100	-4.700	0.000	0.000	7.100	2.600	1.800	0.269	0.268	0.400	-0.100	0.000	1.414	0.500
0.40000	500.		0.012	0.166	6.600	8.000	12.300	16.100	5.300	1.100	-3.300	-10.600	0.000	0.000	14.700	5.300	3.400	0.166	0.166	0.300	-0.100	0.000	1.414	0.500
0.00853	650.		0.750	0.989	3.800	3.700	0.900	5.400	-0.600	-0.500	0.500	0.100	0.000	0.100	3.800	0.500	0.100	0.989	0.000	0.000	0.000	0.000	1.414	0.500
0.01300	650.		0.492	0.862	3.000	2.700	1.100	4.200	-0.200	-0.400	0.800	0.600	-0.200	0.000	2.900	0.200	0.700	0.863	0.882	0.900	-0.700	-2.300	1.414	0.500
0.02000	650.		0.320	0.750	3.000	2.800	1.000	4.200	0.200	0.200	0.800	0.600	0.000	0.000	2.900	0.200	1.000	0.751	0.755	0.800	-0.700	-0.700	1.414	0.500
0.03200	650.		0.200	0.609	2.900	2.700	1.400	4.200	0.800	-0.700	0.500	0.800	0.000	0.000	3.100	0.800	0.700	0.610	0.609	0.900	-0.600	-0.200	1.414	0.500
0.05000	650.		0.128	0.519	3.000	2.700	1.200	4.200	1.000	-0.500	0.100	0.600	0.000	0.000	3.000	0.900	0.100	0.520	0.518	0.800	-0.500	-0.100	1.414	0.500
0.08000	650.		0.080	0.442	3.200	2.800	1.700	4.600	1.100	-0.900	-0.600	0.900	0.000	0.000	3.300	1.100	0.100	0.442	0.441	0.700	-0.400	0.000	1.414	0.500
